Project Name: testA, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9115820527076721,testA_v3_ALTmodif_a1.00_b0.00_g3.15.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v5.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8376281261444092,testA_v4_ALTmodif_a1.00_b0.00_g2.45.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7678127884864807,testA_v5.jpg
4,car,0.534579336643219,0.534579336643219,0.5431155562400818,testA_v2_ALTmodif_a1.00_b0.00_g1.80.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7776546835899353,
New Detections,,,0.0,0.0,
Number of Detections,,5,5.0,5.0,


Project Name: testA, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9118898510932922,testA_v0_ALTmodif_a1.00_b0.00_g2.80.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v10.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8475139141082764,testA_v4_ALTmodif_a1.00_b0.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7977696657180786,testA_v8_ALTmodif_a1.00_b0.00_g0.65.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v10.jpg
5,person,,,0.5350142121315002,testA_v8_ALTmodif_a1.00_b0.00_g0.65.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7852029085159302,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9135191440582275,testA_v9_ALTmodif_a1.00_b0.00_g3.00.jpg
1,truck,0.826055645942688,0.7500853538513184,0.829649031162262,testA_v13_ALTmodif_a1.00_b0.00_g1.05.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8475139141082764,testA_v4_ALTmodif_a1.00_b0.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7910691499710083,testA_v7_ALTmodif_a1.00_b0.00_g0.55.jpg
4,car,0.534579336643219,0.534579336643219,0.5464989542961121,testA_v6_ALTmodif_a1.00_b0.00_g1.45.jpg
5,person,,,0.5278463363647461,testA_v7_ALTmodif_a1.00_b0.00_g0.55.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7856500387191773,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9115212559700012,testA_v3_ALTmodif_a1.00_b0.00_g2.50.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v20.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8453237414360046,testA_v10_ALTmodif_a1.00_b0.00_g2.35.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7907230854034424,testA_v8_ALTmodif_a1.00_b0.00_g0.70.jpg
4,car,0.534579336643219,0.534579336643219,0.5543267726898193,testA_v6_ALTmodif_a1.00_b0.00_g1.75.jpg
5,person,,,0.5475810170173645,testA_v9_ALTmodif_a1.00_b0.00_g0.60.jpg
6,car,,,0.5306581258773804,testA_v7_ALTmodif_a1.00_b0.00_g3.45.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.78600594997406,
New Detections,,,0,2.0,
Number of Detections,,5,5,7.0,


Project Name: testA, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9134659171104431,testA_v11_ALTmodif_a1.00_b0.00_g2.60.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v25.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8475139141082764,testA_v1_ALTmodif_a1.00_b0.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7899506092071533,testA_v3_ALTmodif_a1.00_b0.00_g0.60.jpg
4,car,0.534579336643219,0.534579336643219,0.550096869468689,testA_v23_ALTmodif_a1.00_b0.00_g1.30.jpg
5,person,,,0.5475810170173645,testA_v3_ALTmodif_a1.00_b0.00_g0.60.jpg
6,car,,,0.5254111289978027,testA_v18_ALTmodif_a1.00_b0.00_g3.25.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7858324408531189,
New Detections,,,0,2.0,
Number of Detections,,5,5,7.0,


Project Name: testA, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9133853912353516,testA_v7_ALTmodif_a1.00_b0.00_g2.90.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v30.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8475139141082764,testA_v25_ALTmodif_a1.00_b0.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7910691499710083,testA_v16_ALTmodif_a1.00_b0.00_g0.55.jpg
4,car,0.534579336643219,0.534579336643219,0.5543267726898193,testA_v12_ALTmodif_a1.00_b0.00_g1.75.jpg
5,person,,,0.5278463363647461,testA_v16_ALTmodif_a1.00_b0.00_g0.55.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7868860244750977,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9123578071594238,testA_v8_ALTmodif_a1.00_b0.00_g2.30.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v35.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8475139141082764,testA_v11_ALTmodif_a1.00_b0.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8129304051399231,testA_v12_ALTmodif_a1.00_b0.00_g0.50.jpg
4,car,0.534579336643219,0.534579336643219,0.5437778830528259,testA_v18_ALTmodif_a1.00_b0.00_g1.25.jpg
5,person,,,0.5488743185997009,testA_v12_ALTmodif_a1.00_b0.00_g0.50.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7889429807662964,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,
