Project Name: testA_BC_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.857835054397583,testA_v0_ALTmodif_a1.55_b19.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.7775716781616211,testA_v0_ALTmodif_a1.55_b19.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7739520072937012,testA_v4_ALTmodif_a2.10_b53.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7651541233062744,testA_v4_ALTmodif_a2.10_b53.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v5.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5881568193435669,testA_v1_ALTmodif_a2.00_b-9.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6991466368947711,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8608583807945251,testA_v4_ALTmodif_a1.10_b15.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8137291073799133,testA_v2_ALTmodif_a1.15_b40.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.792314887046814,testA_v0_ALTmodif_a1.50_b-20.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.709919810295105,testA_v1_ALTmodif_a2.00_b32.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.7003353238105774,testA_v7_ALTmodif_a0.95_b-1.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6136205792427063,testA_v1_ALTmodif_a2.00_b32.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5423252582550049,testA_v8_ALTmodif_a1.80_b-28.00_g1.00.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7190147638320923,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.859341561794281,testA_v4_ALTmodif_a1.35_b56.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8196945190429688,testA_v4_ALTmodif_a1.35_b56.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8137819766998291,testA_v14_ALTmodif_a2.55_b44.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7980584502220154,testA_v14_ALTmodif_a2.55_b44.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v15.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6062175631523132,testA_v1_ALTmodif_a2.00_b1.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v15.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7183501209531512,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.860084593296051,testA_v2_ALTmodif_a1.45_b41.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8319764733314514,testA_v1_ALTmodif_a0.90_b31.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8686277270317078,testA_v5_ALTmodif_a2.40_b-59.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7862449884414673,testA_v8_ALTmodif_a2.45_b56.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6775946617126465,testA_v7_ALTmodif_a1.10_b-14.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6074473857879639,testA_v10_ALTmodif_a2.15_b1.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5310373902320862,testA_v7_ALTmodif_a1.10_b-14.00_g1.00.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7375733171190534,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8581835627555847,testA_v12_ALTmodif_a0.95_b39.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8411151766777039,testA_v16_ALTmodif_a0.85_b50.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7963459491729736,testA_v2_ALTmodif_a2.50_b49.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7932522296905518,testA_v2_ALTmodif_a2.50_b49.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6246158480644226,testA_v17_ALTmodif_a1.30_b10.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6025661826133728,testA_v10_ALTmodif_a2.25_b14.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5212094187736511,testA_v8_ALTmodif_a2.05_b-20.00_g1.00.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7196126239640372,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8612862825393677,testA_v24_ALTmodif_a1.10_b30.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8334470391273499,testA_v19_ALTmodif_a0.95_b55.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8242964148521423,testA_v4_ALTmodif_a1.55_b-10.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7754701375961304,testA_v14_ALTmodif_a2.50_b39.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6561616659164429,testA_v28_ALTmodif_a1.15_b26.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.612403154373169,testA_v23_ALTmodif_a2.15_b19.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v30.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7244240130696978,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8676314353942871,testA_v7_ALTmodif_a1.55_b51.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8361564874649048,testA_v0_ALTmodif_a0.85_b41.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8789452910423279,testA_v12_ALTmodif_a2.45_b-53.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7818873524665833,testA_v6_ALTmodif_a2.70_b42.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.655499279499054,testA_v11_ALTmodif_a1.15_b23.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6103056073188782,testA_v32_ALTmodif_a2.15_b20.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5444177389144897,testA_v8_ALTmodif_a0.80_b-14.00_g1.00.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7392633131572178,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BC_simulated, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8642513155937195,testA_v23_ALTmodif_a1.55_b43.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8290819525718689,testA_v6_ALTmodif_a1.00_b54.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8381637930870056,testA_v21_ALTmodif_a1.45_b-16.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7790011763572693,testA_v0_ALTmodif_a2.55_b34.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6453940868377686,testA_v28_ALTmodif_a1.15_b56.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6038885116577148,testA_v12_ALTmodif_a1.95_b40.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v40.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7239548904555184,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,
