Project Name: testA_BG_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8655154705047607,testA_v0_ALTmodif_a1.00_b0.00_g0.60.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8655154705047607,testA_v0_ALTmodif_a1.00_b0.00_g0.60.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7644340991973877,testA_v3_ALTmodif_a1.00_b50.00_g1.50.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v5.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v5.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v5.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6946285452161517,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v10.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.6229106187820435,testA_v5_ALTmodif_a1.00_b-21.00_g1.05.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8191483020782471,testA_v2_ALTmodif_a1.00_b59.00_g2.45.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v10.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v10.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v10.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v10.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6665328230176654,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8586373925209045,testA_v8_ALTmodif_a1.00_b26.00_g0.80.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8241293430328369,testA_v8_ALTmodif_a1.00_b26.00_g0.80.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7939509749412537,testA_v9_ALTmodif_a1.00_b45.00_g2.25.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v15.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6273755431175232,testA_v8_ALTmodif_a1.00_b26.00_g0.80.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v15.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v15.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6925106644630432,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8604536056518555,testA_v3_ALTmodif_a1.00_b30.00_g1.05.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8411678671836853,testA_v9_ALTmodif_a1.00_b45.00_g0.70.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7916789650917053,testA_v4_ALTmodif_a1.00_b41.00_g1.70.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6523022055625916,testA_v19_ALTmodif_a1.00_b24.00_g0.90.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6498388648033142,testA_v2_ALTmodif_a1.00_b30.00_g1.45.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5850397944450378,testA_v7_ALTmodif_a1.00_b10.00_g0.50.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v20.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6983406714030674,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v25.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.7313326001167297,testA_v22_ALTmodif_a1.00_b-46.00_g0.60.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.818367063999176,testA_v22_ALTmodif_a1.00_b-46.00_g0.60.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7312641739845276,testA_v23_ALTmodif_a1.00_b8.00_g0.65.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6752164959907532,testA_v16_ALTmodif_a1.00_b-11.00_g0.85.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5939531326293945,testA_v16_ALTmodif_a1.00_b-11.00_g0.85.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v25.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7021104182515826,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8585025072097778,testA_v3_ALTmodif_a1.00_b45.00_g1.05.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8353871703147888,testA_v22_ALTmodif_a1.00_b48.00_g0.80.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7955836653709412,testA_v18_ALTmodif_a1.00_b54.00_g2.15.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7116334438323975,testA_v17_ALTmodif_a1.00_b20.00_g0.65.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6680243015289307,testA_v12_ALTmodif_a1.00_b-17.00_g1.65.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5870001316070557,testA_v18_ALTmodif_a1.00_b54.00_g2.15.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5406993627548218,testA_v2_ALTmodif_a1.00_b-16.00_g1.25.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7138329403741019,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8659117221832275,testA_v5_ALTmodif_a1.00_b-20.00_g0.60.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8659117221832275,testA_v5_ALTmodif_a1.00_b-20.00_g0.60.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8213062882423401,testA_v24_ALTmodif_a1.00_b0.00_g1.30.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6660552620887756,testA_v29_ALTmodif_a1.00_b9.00_g0.85.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6851091980934143,testA_v24_ALTmodif_a1.00_b0.00_g1.30.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5891830325126648,testA_v12_ALTmodif_a1.00_b37.00_g2.10.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5145941972732544,testA_v18_ALTmodif_a1.00_b-12.00_g0.55.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7154387746538434,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BG_simulated, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8647856712341309,testA_v31_ALTmodif_a1.00_b-31.00_g1.05.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8404697775840759,testA_v3_ALTmodif_a1.00_b49.00_g0.75.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.810501217842102,testA_v16_ALTmodif_a1.00_b49.00_g1.90.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7311679124832153,testA_v33_ALTmodif_a1.00_b6.00_g0.65.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6767629981040955,testA_v2_ALTmodif_a1.00_b-12.00_g0.85.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5954102873802185,testA_v36_ALTmodif_a1.00_b1.00_g1.45.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v40.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7181430373873029,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,
